class,count,min,mean,p50,p90,p95,p99,max,over_70m
Cyclist,15073,1.6060,35.3225,33.5310,61.9430,65.6451,70.8864,85.9332,238
Pedestrian,173584,1.4030,36.4202,35.7994,61.7832,66.4498,72.0483,87.9004,3605
Vehicle,452998,2.2616,37.8948,37.0311,65.2870,69.6867,74.4009,99.3740,21194
